name,title,adult,popularity,video,vote_count,poster_path,release_date,id,genre_ids,original_title,original_language,origin_country,overview,backdrop_path,original_name,rating,first_air_date,genres
,Ape vs. Mecha Ape,False,557.563,False,202,/dJaIw8OgACelojyV6YuVsOhtTLO.jpg,2023-03-24,1094844,"[28, 878]",Ape vs. Mecha Ape,en,,"Recognizing the destructive power of its captive giant Ape, the military makes its own battle-ready A.I., Mecha Ape. But its first practical test goes horribly wrong, leaving the military no choice but to release the imprisoned giant ape to stop the colossal robot before it destroys downtown Chicago.",/jnE1GA7cGEfv5DJBoU2t4bZHaP4.jpg,,5.71,,"Action, Science Fiction"
,Thelma the Unicorn,False,710.986,False,55,/yutiEZ7taGDNau2jGjKIdDwQpDw.jpg,2024-05-17,739547,"[16, 14, 10751]",Thelma the Unicorn,en,,"Thelma dreams of being a glamorous unicorn. Then in a rare pink and glitter-filled moment of fate, Thelma's wish comes true. She rises to instant international stardom, but at an unexpected cost. After a while, Thelma realizes that she was happier as her ordinary, sparkle-free self. So she ditches her horn, scrubs off her sparkles, and returns home, where her best friend is waiting for her with a hug.",/AuKXTyCVzeIdtTe1NAQnJa1ZC7I.jpg,,7.1,,"Animation, Fantasy, Family"
,The Fall Guy,False,912.845,False,616,/tSz1qsmSJon0rqjHBxXZmrotuse.jpg,2024-04-24,746036,"[28, 35]",The Fall Guy,en,,"Fresh off an almost career-ending accident, stuntman Colt Seavers has to track down a missing movie star, solve a conspiracy and try to win back the love of his life while still doing his day job.",/H5HjE7Xb9N09rbWn1zBfxgI8uz.jpg,,7.455,,"Action, Comedy"
,Sting,False,680.965,False,70,/zuSAZIG1PSrxFwPeAlGtg9LTwxo.jpg,2024-04-12,1087388,"[27, 53]",Sting,en,,"After raising an unnervingly talented spider in secret, 12-year-old Charlotte must face the truth about her pet and fight for her family's survival.",/k37Ccgu05Am1xxgN5GaW0HX9Kkl.jpg,,6.536,,"Horror, Thriller"
,Ghostbusters: Frozen Empire,False,591.308,False,834,/e1J2oNzSBdou01sUvriVuoYp0pJ.jpg,2024-03-20,967847,"[14, 12, 35]",Ghostbusters: Frozen Empire,en,,"When the discovery of an ancient artifact unleashes an evil force, Ghostbusters new and old must join forces to protect their home and save the world from a second Ice Age.",/wODqakS0jinTUECNS6n4VomQbew.jpg,,6.676,,"Fantasy, Adventure, Comedy"
,Monster's Battlefield,False,507.578,False,29,/nBVYp2xxx2R02n21EGlDky8CgWR.jpg,2021-12-27,920342,[878],异兽战场,zh,,"The soldier king Qin Yang's fiancée Ye Qin met with an unknown beast and died tragically. Gu Ping invites him to participate in Ye Qin's scientific research before her death. But Gu Ping is using Ye Qin's research results to combine the genes of unknown beasts to create the ""Zero"" dragon creature. The intelligent dragon creature, coupled with the extra-terrestrial beast evolved by devouring,  an imminent city war is coming...",/7kQvHmGyKJv2wSKVfCUux50rd7A.jpg,,7.155,,Science Fiction
,No Way Up,False,541.474,False,673,/hu40Uxp9WtpL34jv3zyWLb5zEVY.jpg,2024-01-18,1096197,"[28, 27, 53]",No Way Up,en,,Characters from different backgrounds are thrown together when the plane they're travelling on crashes into the Pacific Ocean. A nightmare fight for survival ensues with the air supply running out and dangers creeping in from all sides.,/4woSOUD0equAYzvwhWBHIJDCM88.jpg,,6.426,,"Action, Horror, Thriller"
,Oppenheimer,False,542.361,False,8084,/8Gxv8gSFCU0XGDykEGv7zR1n2ua.jpg,2023-07-19,872585,"[18, 36]",Oppenheimer,en,,The story of J. Robert Oppenheimer's role in the development of the atomic bomb during World War II.,/nb3xI8XI3w4pMVZ38VijbsyBqP4.jpg,,8.102,,"Drama, History"
,Fast X,False,536.156,False,5185,/fiVW06jE7z9YnO4trhaMEdclSiC.jpg,2023-05-17,385687,"[28, 80, 53]",Fast X,en,,"Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.",/4XM8DUTQb3lhLemJC51Jx4a2EuA.jpg,,7.123,,"Action, Crime, Thriller"
,Dawn of the Planet of the Apes,False,481.981,False,10942,/kScdQEwS9jPEdnO23XjGAtaoRcT.jpg,2014-07-08,119450,"[878, 28, 18, 53]",Dawn of the Planet of the Apes,en,,"A group of scientists in San Francisco struggle to stay alive in the aftermath of a plague that is wiping out humanity, while Caesar tries to maintain dominance over his community of intelligent apes.",/4TFCA5Lm5miseV3Wy02yxurEQL9.jpg,,7.319,,"Science Fiction, Action, Drama, Thriller"
,Challengers,False,496.027,False,710,/H6vke7zGiuLsz4v4RPeReb9rsv.jpg,2024-04-18,937287,"[10749, 18]",Challengers,en,,"Tennis player turned coach Tashi has taken her husband, Art, and transformed him into a world-famous Grand Slam champion. To jolt him out of his recent losing streak, she signs him up for a ""Challenger"" event — close to the lowest level of pro tournament — where he finds himself standing across the net from his former best friend and Tashi's former boyfriend.",/4CcUgdiGe83MeqJW1NyJVmZqRrF.jpg,,7.291,,"Romance, Drama"
,Dune,False,496.611,False,11684,/d5NXSklXo0qyIYkgV94XAgMIckC.jpg,2021-09-15,438631,"[878, 12]",Dune,en,,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive.",/lzWHmYdfeFiMIY4JaMmtR7GEli3.jpg,,7.779,,"Science Fiction, Adventure"
,The Promised Neverland,False,489.72,False,46,/7tMAledkia9p72zON1nLRlyfHO7.jpg,2020-12-18,634521,"[28, 53, 14, 9648, 12, 18]",約束のネバーランド,ja,,"A group of the smartest kids at a seemingly perfect orphanage uncover its dark secret, and they set in motion a dangerous and desperate escape plan.",/iy08wTsqcWYT2PFTEWFYcxepLeB.jpg,,7.4,,"Action, Thriller, Fantasy, Mystery, Adventure, Drama"
,Abigail,False,521.648,False,521,/5gKKSoD3iezjoL7YqZONjmyAiRA.jpg,2024-04-18,1111873,"[27, 53]",Abigail,en,,"A group of criminals kidnaps a teenage ballet dancer, the daughter of a notorious gang leader, in order to obtain a ransom of $50 million, but over time, they discover that she is not just an ordinary girl. After the kidnappers begin to diminish, one by one, they discover, to their increasing horror, that they are locked inside with an unusual girl.",/ySgY4jBvZ6qchrxKnBg4M8tZp8V.jpg,,6.868,,"Horror, Thriller"
,Madame Web,False,433.613,False,1339,/rULWuutDcN5NvtiZi4FRPzRYWSh.jpg,2024-02-14,634492,"[28, 14]",Madame Web,en,,"Forced to confront revelations about her past, paramedic Cassandra Webb forges a relationship with three young women destined for powerful futures...if they can all survive a deadly present.",/pwGmXVKUgKN13psUjlhC9zBcq1o.jpg,,5.602,,"Action, Fantasy"
,Barbie,False,447.477,False,8293,/iuFNMS8U5cb6xfzi51Dbkovj7vM.jpg,2023-07-19,346698,"[35, 12]",Barbie,en,,"Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.",/ctMserH8g2SeOAnCw5gFjdQF8mo.jpg,,7.059,,"Comedy, Adventure"
,Hunt Club,False,435.004,False,22,/qmMazCTqdQNaqeCVeKysT6I3uz4.jpg,2023-04-06,1064178,"[28, 53, 27]",Hunt Club,en,,"Follows a group of male hunters who regularly lure women to their island with the chance to win 100K in a hunt, only to discover that they are the hunted, but this time they mess with the wrong girls and must deal with the consequences.",/8dDXs208EbTGRnR1BHGl8bMTBEP.jpg,,3.864,,"Action, Thriller, Horror"
,The Idea of You,False,482.213,False,833,/zDi2U7WYkdIoGYHcYbM9X5yReVD.jpg,2024-05-02,843527,"[10749, 35, 18]",The Idea of You,en,,"Solène, a 40-year-old single mom, begins an unexpected romance with 24-year-old Hayes Campbell, the lead singer of August Moon, the hottest boy band on the planet. When Solène must step in to chaperone her teenage daughter's trip to the Coachella Music Festival after her ex bails at the last minute, she has a chance encounter with Hayes and there is an instant, undeniable spark. As they begin a whirlwind romance, it isn't long before Hayes' superstar status poses unavoidable challenges to their relationship, and Solène soon discovers that life in the glare of his spotlight might be more than she bargained for.",/6Xfj8wD7GoEysgcFayRKd6QLqai.jpg,,7.5,,"Romance, Comedy, Drama"
,Rebel Moon - Part Two: The Scargiver,False,446.821,False,806,/cxevDYdeFkiixRShbObdwAHBZry.jpg,2024-04-19,934632,"[878, 28, 18]",Rebel Moon - Part Two: The Scargiver,en,,"The rebels gear up for battle against the ruthless forces of the Motherworld as unbreakable bonds are forged, heroes emerge — and legends are made.",/tpiqEVTLRz2Mq7eLq5DT8jSrp71.jpg,,6.121,,"Science Fiction, Action, Drama"
,Road House,False,422.347,False,1785,/bXi6IQiQDHD00JFio5ZSZOeRSBh.jpg,2024-03-08,359410,"[28, 53]",Road House,en,,"Ex-UFC fighter Dalton takes a job as a bouncer at a Florida Keys roadhouse, only to discover that this paradise is not all it seems.",/oe7mWkvYhK4PLRNAVSvonzyUXNy.jpg,,7.017,,"Action, Thriller"
,Migration,False,505.662,False,1354,/ldfCF9RhR40mppkzmftxapaHeTo.jpg,2023-12-06,940551,"[16, 28, 12, 35, 10751]",Migration,en,,"After a migrating duck family alights on their pond with thrilling tales of far-flung places, the Mallard family embarks on a family road trip, from New England, to New York City, to tropical Jamaica.",/2KGxQFV9Wp1MshPBf8BuqWUgVAz.jpg,,7.47,,"Animation, Action, Adventure, Comedy, Family"
,Mad Max: Fury Road,False,455.823,False,21735,/hA2ple9q4qnwxp3hKVNhroipsir.jpg,2015-05-13,76341,"[28, 12, 878]",Mad Max: Fury Road,en,,"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order.",/gqrnQA6Xppdl8vIb2eJc58VC1tW.jpg,,7.593,,"Action, Adventure, Science Fiction"
,The Batman,False,429.512,False,9607,/74xTEgt7R36Fpooo50r9T25onhq.jpg,2022-03-01,414906,"[80, 9648, 53]",The Batman,en,,"In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler.",/tRS6jvPM9qPrrnx2KRp3ew96Yot.jpg,,7.678,,"Crime, Mystery, Thriller"
,Deadpool,False,425.25,False,29913,/fSRb7vyIP8rQpL0I47P3qUsEKX3.jpg,2016-02-09,293660,"[28, 12, 35]",Deadpool,en,,"The origin story of former Special Forces operative turned mercenary Wade Wilson, who, after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.",/en971MEXui9diirXlogOrPKmsEn.jpg,,7.613,,"Action, Adventure, Comedy"
,"Miraculous World: Paris, Tales of Shadybug and Claw Noir",False,467.606,False,167,/7Md3nuV0ZprBTnkdR3OrUCEsrSP.jpg,2023-10-21,1147400,"[16, 12, 28, 14, 10751]","Miraculous World : Paris, Les Aventures de Toxinelle et Griffe Noire",fr,,"Miraculous holders from another world appear in Paris. They come from a parallel universe where everything is reversed: the holders of Ladybug and Black Cat Miraculouses, Shadybug and Claw Noir, are the bad guys, and the holder of the Butterfly Miraculous, Hesperia, is a superhero. Ladybug and Cat Noir will have to help Hesperia counter the attacks of their evil doubles and prevent them from seizing the Butterfly's Miraculous. Can our heroes also help Hesperia make Shadybug and Claw Noir better people?",/hU1Q9YVzdYhokr8a9gLywnSUMlN.jpg,,7.623,,"Animation, Adventure, Action, Fantasy, Family"
,Logan,False,433.197,False,18714,/fnbjcRDYn6YviCcePDnGdyAkYsB.jpg,2017-02-28,263115,"[28, 18, 878]",Logan,en,,"In the near future, a weary Logan cares for an ailing Professor X in a hideout on the Mexican border. But Logan's attempts to hide from the world and his legacy are upended when a young mutant arrives, pursued by dark forces.",/9X7YweCJw3q8Mcf6GadxReFEksM.jpg,,7.817,,"Action, Drama, Science Fiction"
,The Flash,False,407.815,False,3905,/rktDFPbfHfUbArZ6OOOKsXcv0Bm.jpg,2023-06-13,298618,"[28, 12, 878]",The Flash,en,,"When his attempt to save his family inadvertently alters the future, Barry Allen becomes trapped in a reality in which General Zod has returned and there are no Super Heroes to turn to. In order to save the world that he is in and return to the future that he knows, Barry's only hope is to race for his life. But will making the ultimate sacrifice be enough to reset the universe?",/yF1eOkaYvwiORauRCPWznV9xVvi.jpg,,6.738,,"Action, Adventure, Science Fiction"
,The Childe,False,369.572,False,89,/ydC8ubFXQfkPJDhkduMhbE9mTz7.jpg,2023-06-21,1057001,"[28, 53, 18]",The Childe,ko,,"Desperate to secure funds for his mother's surgery, an amateur boxer searches for the wealthy father he's never met. Traveling from the Philippines to Korea, he is relentlessly pursued and forced to confront a shocking truth.",/x1Ex090BNIXcmaBYB2US0j3hBUF.jpg,,7.135,,"Action, Thriller, Drama"
,Interstellar,False,411.604,False,34389,/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg,2014-11-05,157336,"[12, 18, 878]",Interstellar,en,,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,/xJHokMbljvjADYdit5fK5VQsXEG.jpg,,8.434,,"Adventure, Drama, Science Fiction"
,Iron Man 2,False,398.092,False,20465,/6WBeq4fCfn7AN0o21W9qNcRF2l9.jpg,2010-04-28,10138,"[12, 28, 878]",Iron Man 2,en,,"With the world now aware of his dual life as the armored superhero Iron Man, billionaire inventor Tony Stark faces pressure from the government, the press and the public to share his technology with the military. Unwilling to let go of his invention, Stark, with Pepper Potts and James 'Rhodey' Rhodes at his side, must forge new alliances – and confront powerful enemies.",/7lmBufEG7P7Y1HClYK3gCxYrkgS.jpg,,6.84,,"Adventure, Action, Science Fiction"
,The Matrix,False,401.287,False,24917,/f89U3ADr1oiB1s9GkdPOEpXUk5H.jpg,1999-03-31,603,"[28, 878]",The Matrix,en,,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",/icmmSD4vTTDKOq2vvdulafOGw93.jpg,,8.216,,"Action, Science Fiction"
,Noryang: Deadly Sea,False,601.607,False,14,/wFAe7gA513Pi2meI4ECwf6YEKR1.jpg,2023-12-20,660360,"[28, 36, 18, 10752]",노량: 죽음의 바다,ko,,"In the winter of 1598, the seven-year Imjin War nears an end as the Japanese Wae invaders prepare to withdraw from Joseon. Admiral Yi Sun-shin leads an allied fleet of Joseon and Ming ships to annihilate the Wae army. Joseon, Ming, and Wae forces clash at Noryang Strait, the deadly sea where Admiral Yi fights his last valiant battle.",/ksZTspehDCC4PCZN8ci31pFT6yp.jpg,,8.0,,"Action, History, Drama, War"
,The Terminator,False,408.388,False,12565,/qvktm0BHcnmDpul4Hz01GIazWPr.jpg,1984-10-26,218,"[28, 53, 878]",The Terminator,en,,"In the post-apocalyptic future, reigning tyrannical supercomputers teleport a cyborg assassin known as the ""Terminator"" back to 1984 to kill Sarah Connor, whose unborn son is destined to lead insurgents against 21st century mechanical hegemony. Meanwhile, the human-resistance movement dispatches a lone warrior to safeguard Sarah. Can he stop the virtually indestructible killing machine?",/6dpnthrofbqWmvapUyvqCrkdHG.jpg,,7.665,,"Action, Thriller, Science Fiction"
,Ghostbusters,False,394.593,False,6230,/wJmWliwXIgZOCCVOcGRBhce7xPS.jpg,2016-07-14,43074,"[28, 14, 35]",Ghostbusters,en,,"Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat.",/3RWsSQlqzRjsuqSRmoyggy74UA7.jpg,,5.358,,"Action, Fantasy, Comedy"
,Star Wars,False,398.682,False,20024,/6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg,1977-05-25,11,"[12, 28, 878]",Star Wars,en,,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,/4qCqAdHcNKeAHcK8tJ8wNJZa9cx.jpg,,8.203,,"Adventure, Action, Science Fiction"
,Weeding Night,False,399.532,False,24,/2iQoSPyAGHseY5NhMM28orLkxjq.jpg,2024-03-07,1211307,"[35, 10749]",Noche de Bodas,es,,"Lucía and Nico, the couple of the century, are about to say yes... although not with each other. It turns out that they both decided to get married on the same day and in the same place, but with other people.",/oDiFx3cXdNWfRReDm2WsaRqSxMj.jpg,,7.5,,"Comedy, Romance"
,Thor: Ragnarok,False,394.478,False,20226,/rzRwTcFvttcN1ZpX2xv4j3tSdJu.jpg,2017-10-02,284053,"[28, 12, 878]",Thor: Ragnarok,en,,"Thor is imprisoned on the other side of the universe and finds himself in a race against time to get back to Asgard to stop Ragnarok, the destruction of his home-world and the end of Asgardian civilization, at the hands of a powerful new threat, the ruthless Hela.",/kaIfm5ryEOwYg8mLbq8HkPuM1Fo.jpg,,7.592,,"Action, Adventure, Science Fiction"
,May the 12th Be with You,False,439.402,False,16,/sHJ2OIgpcpSmhqXkuSWxZ3nwg1S.jpg,2024-05-09,1284004,"[16, 35]",May the 12th Be with You,en,,"It's Mother's Day and Marge Simpson joins the moms of Disney+ on a special holiday outing that turns into an epic galactic adventure filled with heroes, villains, and Stewie from Family Guy.",/7IgL9NzlXSSHXyYoZHXVJEKQhkg.jpg,,5.125,,"Animation, Comedy"
,The Long Game,False,252.838,False,9,/eVWHzm6bL4ybAuRLqA10Qo7ACfN.jpg,2024-04-12,1079810,"[18, 10751]",The Long Game,en,,"In a segregated Texas, five Mexican-American teenage caddies were prohibited from playing at the country club where they worked. Against all odds, they formed their own team, built a one-hole course in the fields, and won the 1957 Texas State championship. Based on a true story.",/iwWSkNdCRjGuyUBolM28xVTcVEg.jpg,,6.167,,"Drama, Family"
,Turning Red,False,404.656,False,4957,/qsdjk9oAKSQMWs0Vt5Pyfh6O4GZ.jpg,2022-03-10,508947,"[16, 10751, 35, 14]",Turning Red,en,,"Thirteen-year-old Mei is experiencing the awkwardness of being a teenager with a twist – when she gets too excited, she transforms into a giant red panda.",/fOy2Jurz9k6RnJnMUMRDAgBwru2.jpg,,7.388,,"Animation, Family, Comedy, Fantasy"
,Captain Marvel,False,385.345,False,15283,/AtsgWhDnHTq68L0lLsUrCnM7TjG.jpg,2019-03-06,299537,"[28, 12, 878]",Captain Marvel,en,,"The story follows Carol Danvers as she becomes one of the universe’s most powerful heroes when Earth is caught in the middle of a galactic war between two alien races. Set in the 1990s, Captain Marvel is an all-new adventure from a previously unseen period in the history of the Marvel Cinematic Universe.",/qAzYK4YPSWDc7aa4R43LcwRIAyb.jpg,,6.823,,"Action, Adventure, Science Fiction"
,Tenet,False,402.033,False,9414,/k68nPLbIST6NP96JmTxmZijEvCA.jpg,2020-08-22,577922,"[28, 53, 878]",Tenet,en,,"Armed with only one word - Tenet - and fighting for the survival of the entire world, the Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.",/yY76zq9XSuJ4nWyPDuwkdV7Wt0c.jpg,,7.183,,"Action, Thriller, Science Fiction"
,X,False,401.668,False,2789,/A7YPhQKdcr6XB1kCUdS4tHifYWd.jpg,2022-03-17,760104,"[27, 53, 9648]",X,en,,"In 1979, a group of young filmmakers set out to make an adult film in rural Texas, but when their reclusive, elderly hosts catch them in the act, the cast find themselves fighting for their lives.",/70Rm9ItxKuEKN8iu6rNjfwAYUCJ.jpg,,6.7,,"Horror, Thriller, Mystery"
,Joker,False,403.767,False,24612,/udDclJoHjfjb8Ekgsd4FDteOkCU.jpg,2019-10-01,475557,"[80, 53, 18]",Joker,en,,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.",/n6bUvigpRFqSwmPp1m2YADdbRBc.jpg,,8.16,,"Crime, Thriller, Drama"
,Immaculate,False,453.792,False,483,/fdZpvODTX5wwkD0ikZNaClE4AoW.jpg,2024-03-20,1041613,"[27, 9648, 53]",Immaculate,en,,"An American nun embarks on a new journey when she joins a remote convent in the Italian countryside. However, her warm welcome quickly turns into a living nightmare when she discovers her new home harbours a sinister secret and unspeakable horrors.",/5Eip60UDiPLASyKjmHPMruggTc4.jpg,,6.219,,"Horror, Mystery, Thriller"
,Alien,False,386.526,False,13962,/vfrQk5IPloGg1v9Rzbh2Eg3VGyM.jpg,1979-05-25,348,"[27, 878]",Alien,en,,"During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed.",/AmR3JG1VQVxU8TfAvljUhfSFUOx.jpg,,8.153,,"Horror, Science Fiction"
,The Marvels,False,371.799,False,2323,/9GBhzXMFjgcZ3FdR9w3bUMMTps5.jpg,2023-11-08,609681,"[878, 12, 28]",The Marvels,en,,"Carol Danvers, aka Captain Marvel, has reclaimed her identity from the tyrannical Kree and taken revenge on the Supreme Intelligence. But unintended consequences see Carol shouldering the burden of a destabilized universe. When her duties send her to an anomalous wormhole linked to a Kree revolutionary, her powers become entangled with that of Jersey City super-fan Kamala Khan, aka Ms. Marvel, and Carol’s estranged niece, now S.A.B.E.R. astronaut Captain Monica Rambeau. Together, this unlikely trio must team up and learn to work in concert to save the universe.",/w4pRLYYbhHn3sh9kqRgPZM6GjyS.jpg,,6.144,,"Science Fiction, Adventure, Action"
,Black Panther,False,371.893,False,21682,/uxzzxijgPIY7slzFvMotPv8wjKA.jpg,2018-02-13,284054,"[28, 12, 878]",Black Panther,en,,"King T'Challa returns home to the reclusive, technologically advanced African nation of Wakanda to serve as his country's new leader. However, T'Challa soon finds that he is challenged for the throne by factions within his own country as well as without. Using powers reserved to Wakandan kings, T'Challa assumes the Black Panther mantle to join with ex-girlfriend Nakia, the queen-mother, his princess-kid sister, members of the Dora Milaje (the Wakandan 'special forces') and an American secret agent, to prevent Wakanda from being dragged into a world war.",/b6ZJZHUdMEFECvGiDpJjlfUWela.jpg,,7.384,,"Action, Adventure, Science Fiction"
,Bird Box,False,397.052,False,9602,/rGfGfgL2pEPCfhIvqHXieXFn7gp.jpg,2018-12-13,405774,"[27, 53, 18]",Bird Box,en,,"Five years after an ominous unseen presence drives most of society to suicide, a survivor and her two children make a desperate bid to reach safety.",/pDKFL1zcHzEpmz4MJA5JJnRbJeD.jpg,,6.8,,"Horror, Thriller, Drama"
,Wonder Woman,False,397.625,False,19527,/imekS7f1OuHyUP2LAiTEM0zBzUz.jpg,2017-05-30,297762,"[28, 12, 14]",Wonder Woman,en,,An Amazon princess comes to the world of Man in the grips of the First World War to confront the forces of evil and bring an end to human conflict.,/6iUNJZymJBMXXriQyFZfLAKnjO6.jpg,,7.228,,"Action, Adventure, Fantasy"
